GENESIS-Tabelle: 12612-0002
Live births: Germany, months, sex;;;;
Birth statistics;;;;
Germany;;;;
Live births (number);;;;
;;Male;Female;Total
1950;January;49505;46331;95836
1950;February;47177;44298;91475
1950;March;53604;49499;103103
1950;April;49606;46030;95636
1950;May;50932;47046;97978
1950;June;47795;44566;92361
1950;July;47377;44324;91701
1950;August;46297;43163;89460
1950;September;47342;44363;91705
1950;October;47370;43885;91255
1950;November;45319;42065;87384
1950;December;45867;42940;88807
1951;January;48747;45169;93916
1951;February;46034;43054;89088
1951;March;51546;47987;99533
1951;April;48568;45721;94289
1951;May;51257;47832;99089
1951;June;48082;44531;92613
1951;July;48104;45423;93527
1951;August;46619;44191;90810
1951;September;46892;43785;90677
1951;October;46144;43279;89423
1951;November;43521;40671;84192
1951;December;46185;43038;89223
1952;January;49430;45802;95232
1952;February;48218;45256;93474
1952;March;52374;48948;101322
1952;April;49339;46092;95431
1952;May;49970;46624;96594
1952;June;46570;43251;89821
1952;July;47445;44735;92180
1952;August;45717;43107;88824
1952;September;47560;44540;92100
1952;October;45077;41963;87040
1952;November;44318;41497;85815
1952;December;45134;42117;87251
1953;January;48762;45878;94640
1953;February;45993;42934;88927
1953;March;51863;48831;100694
1953;April;48983;45909;94892
1953;May;50261;47167;97428
1953;June;47266;43922;91188
1953;July;47554;44688;92242
1953;August;45574;42981;88555
1953;September;47423;44422;91845
1953;October;44129;41869;85998
1953;November;41667;38722;80389
1953;December;45454;42777;88231
1954;January;49374;45922;95296
1954;February;46442;44240;90682
1954;March;51116;47245;98361
1954;April;49118;46291;95409
1954;May;51948;48596;100544
1954;June;47975;44911;92886
1954;July;48350;45317;93667
1954;August;46817;44027;90844
1954;September;47434;44213;91647
1954;October;44235;41978;86213
1954;November;44121;41345;85466
1954;December;45629;43099;88728
1955;January;48920;45879;94799
1955;February;46908;43699;90607
1955;March;52337;49558;101895
1955;April;49525;45827;95352
1955;May;50317;47388;97705
1955;June;48065;45074;93139
1955;July;48073;44571;92644
1955;August;46829;44107;90936
1955;September;47581;44341;91922
1955;October;46060;43208;89268
1955;November;44361;41474;85835
1955;December;46103;43203;89306
1956;January;49009;45921;94930
1956;February;49507;46494;96001
1956;March;53872;50950;104822
1956;April;49671;47230;96901
1956;May;51840;48505;100345
1956;June;47419;44123;91542
1956;July;49070;46252;95322
1956;August;47689;44789;92478
1956;September;48296;45516;93812
1956;October;46313;43722;90035
1956;November;46094;42977;89071
1956;December;47347;44563;91910
1957;January;50451;46879;97330
1957;February;48828;45789;94617
1957;March;53725;50749;104474
1957;April;52096;48769;100865
1957;May;52779;49268;102047
1957;June;50134;47296;97430
1957;July;49613;46569;96182
1957;August;48667;45332;93999
1957;September;50597;47261;97858
1957;October;49181;45938;95119
1957;November;46610;43629;90239
1957;December;49360;46035;95395
1958;January;52132;49176;101308
1958;February;49458;45897;95355
1958;March;56123;52955;109078
1958;April;51114;47717;98831
1958;May;53326;49590;102916
1958;June;47464;44251;91715
1958;July;46900;44122;91022
1958;August;47978;45335;93313
1958;September;52771;49462;102233
1958;October;49695;46680;96375
1958;November;48541;45480;94021
1958;December;51593;48110;99703
1959;January;54487;50764;105251
1959;February;52466;49275;101741
1959;March;57974;54838;112812
1959;April;56064;52468;108532
1959;May;56215;52969;109184
1959;June;52798;49779;102577
1959;July;53562;50444;104006
1959;August;51909;48658;100567
1959;September;53143;50343;103486
1959;October;51763;48133;99896
1959;November;49188;46316;95504
1959;December;51808;48558;100366
1960;January;54289;50853;105142
1960;February;54491;51615;106106
1960;March;58142;55292;113434
1960;April;55235;52112;107347
1960;May;56559;53486;110045
1960;June;53514;51243;104757
1960;July;55055;51966;107021
1960;August;54661;51213;105874
1960;September;55039;51791;106830
1960;October;50500;47831;98331
1960;November;49407;46301;95708
1960;December;52036;48983;101019
1961;January;57282;54337;111619
1961;February;54611;51605;106216
1961;March;61385;58262;119647
1961;April;57799;54585;112384
1961;May;59034;55442;114476
1961;June;55192;51662;106854
1961;July;55718;52364;108082
1961;August;55341;52477;107818
1961;September;55993;52443;108436
1961;October;54632;52169;106801
1961;November;53178;50374;103552
1961;December;55252;52368;107620
1962;January;57507;54258;111765
1962;February;54228;51409;105637
1962;March;61044;57246;118290
1962;April;57159;54587;111746
1962;May;59400;56020;115420
1962;June;55868;52584;108452
1962;July;56392;53156;109548
1962;August;56563;53155;109718
1962;September;56523;53207;109730
1962;October;54500;51619;106119
1962;November;52876;50160;103036
1962;December;55223;51850;107073
1963;January;59825;57038;116863
1963;February;55824;52369;108193
1963;March;63946;60682;124628
1963;April;60164;56953;117117
1963;May;61515;58635;120150
1963;June;57072;53410;110482
1963;July;59068;55814;114882
1963;August;56941;53624;110565
1963;September;58532;54842;113374
1963;October;55583;52838;108421
1963;November;53425;50482;103907
1963;December;55091;51922;107013
1964;January;60261;57323;117584
1964;February;59063;55646;114709
1964;March;63123;59815;122938
1964;April;61452;57715;119167
1964;May;61107;57138;118245
1964;June;57453;54641;112094
1964;July;59240;55589;114829
1964;August;55726;53147;108873
1964;September;57926;54740;112666
1964;October;54266;51488;105754
1964;November;52192;49301;101493
1964;December;56237;52715;108952
1965;January;58109;54666;112775
1965;February;56247;53481;109728
1965;March;62501;58880;121381
1965;April;59027;56113;115140
1965;May;59906;56439;116345
1965;June;56585;53165;109750
1965;July;57310;54158;111468
1965;August;56368;52949;109317
1965;September;56812;52996;109808
1965;October;52678;49679;102357
1965;November;53217;49893;103110
1965;December;53440;50767;104207
1966;January;57833;54979;112812
1966;February;54757;51537;106294
1966;March;61847;58855;120702
1966;April;59040;55492;114532
1966;May;59914;57165;117079
1966;June;56831;54197;111028
1966;July;57308;54085;111393
1966;August;56192;53045;109237
1966;September;55401;52823;108224
1966;October;53428;50834;104262
1966;November;51877;48623;100500
1966;December;52625;49615;102240
1967;January;55945;52668;108613
1967;February;54409;51214;105623
1967;March;59393;56453;115846
1967;April;56508;53310;109818
1967;May;58481;55214;113695
1967;June;54465;51564;106029
1967;July;54834;52140;106974
1967;August;53510;50509;104019
1967;September;53679;50698;104377
1967;October;51989;49460;101449
1967;November;49281;47139;96420
1967;December;51155;48258;99413
1968;January;55605;52947;108552
1968;February;52939;50347;103286
1968;March;57358;54163;111521
1968;April;54526;51532;106058
1968;May;55418;52335;107753
1968;June;51951;48804;100755
1968;July;51798;49462;101260
1968;August;51503;48488;99991
1968;September;50574;48122;98696
1968;October;47302;44526;91828
1968;November;46159;43732;89891
1968;December;49240;46137;95377
1969;January;52989;50351;103340
1969;February;49130;45495;94625
1969;March;55019;51845;106864
1969;April;51422;48599;100021
1969;May;52103;49028;101131
1969;June;48146;45673;93819
1969;July;50273;47935;98208
1969;August;47492;44254;91746
1969;September;48165;45420;93585
1969;October;45407;43193;88600
1969;November;42868;40971;83839
1969;December;44429;42159;86588
1970;January;46129;43527;89656
1970;February;43563;41506;85069
1970;March;49334;46466;95800
1970;April;46787;44462;91249
1970;May;47123;44633;91756
1970;June;45829;43229;89058
1970;July;46282;44141;90423
1970;August;43555;41540;85095
1970;September;42161;39898;82059
1970;October;40898;38562;79460
1970;November;41394;38889;80283
1970;December;44867;42962;87829
1971;January;45369;43160;88529
1971;February;42462;40565;83027
1971;March;48058;45252;93310
1971;April;45463;42441;87904
1971;May;46004;43160;89164
