agegrp,sim_low95,sim_median,sim_up95
1,1.0,1.0,1.0
2,1.0,1.0,1.0
3,0.9970857472347778,1.0,1.0
4,0.7621460994610417,0.770042767189981,0.7786017376888941
5,0.5862203031023318,0.5969067128197512,0.6074179442483001
6,0.45679289288461733,0.4677153853842268,0.4786167465230942
7,0.3612692164460078,0.37132196785409516,0.3813879097729852
8,0.29077272014729266,0.2994477182665469,0.3079320302568999
9,0.23882383291122763,0.24570485123539756,0.2528991772297288
10,0.199718744358131,0.20572834933094583,0.21200275199634988
11,0.17003431638374925,0.17580161046957388,0.18164939026244878
12,0.14740700637882026,0.15347767961380132,0.15970332781075744
