agegrp,sim_low95,sim_median,sim_up95
1,0.3333333333333333,0.3333333333333333,0.3333333333333333
2,0.3333333333333333,0.3333333333333333,0.3333333333333333
3,0.33236191574492596,0.3333333333333333,0.3333333333333333
4,0.2540486998203472,0.25668092239666035,0.2595339125629647
5,0.19540676770077722,0.19896890427325037,0.2024726480827667
6,0.15226429762820579,0.15590512846140892,0.15953891550769808
7,0.12042307214866926,0.12377398928469838,0.12712930325766172
8,0.09692424004909757,0.099815906088849,0.10264401008563331
9,0.07960794430374254,0.08190161707846585,0.08429972574324295
10,0.06657291478604367,0.06857611644364861,0.0706675839987833
11,0.056678105461249746,0.05860053682319129,0.06054979675414959
12,0.04913566879294009,0.05115922653793378,0.05323444260358581
13,0.006065185937069243,0.0066131381711329465,0.0071297126371572565
14,0.003850825664389145,0.004198724071410032,0.004526700531154933
15,0.0004845062807842378,0.0005282784423845967,0.0005695440483987268
16,0.0003615752504531881,0.0003942413497819918,0.00042503686765538385
17,9.787979475370075e-5,0.0001067226320156534,0.00011505909576698467
18,6.601505755186475e-5,7.197911185171815e-5,7.760164238223259e-5
19,5.015937250189677e-5,5.469096320774228e-5,5.896305829849925e-5
20,3.3597076307754505e-5,3.6632365450058776e-5,3.949384272935923e-5
21,8.959271744245694e-5,9.768686825461728e-5,0.00010531751810652728
22,0.00019967094337491477,0.00021770998465660046,0.0002347160438318131
23,0.0004074355536853055,0.00044424484926095344,0.0004789463086668307
24,0.0006538586263602629,0.0007129307304628217,0.0007686201477819309
25,0.0010087981010934023,0.0010999368030142963,0.0011858565663662624
