agegrp,sim_low95,sim_median,sim_up95
1,0.8823529411764706,1.0,1.0
2,0.875,0.9583333333333334,1.0
3,0.8571428571428571,0.9428571428571428,1.0
4,0.8285714285714286,0.9428571428571428,1.0
5,0.8125,0.90625,1.0
6,0.78125,0.90625,1.0
7,0.7647058823529411,0.8823529411764706,0.9705882352941176
8,0.75,0.8636363636363636,0.9545454545454546
9,0.7272727272727273,0.8484848484848485,0.9696969696969697
10,0.7105263157894737,0.8421052631578947,0.9473684210526315
11,0.6976744186046512,0.813953488372093,0.9302325581395349
