n,age,year,intervention,strategy,vaccine,seasonal,replicate,n_base,vaccine_base
0.0,1,1,mAB,1,none,true,1,0.0,none
11922.730077463404,2,1,mAB,1,none,true,1,19957.881858105582,none
2020.3699116395323,3,1,mAB,1,none,true,1,10053.298231353143,none
2016.5274923958173,4,1,mAB,1,none,true,1,10041.586343896592,none
2008.457164477017,5,1,mAB,1,none,true,1,10019.938644227686,none
1994.6165862851562,6,1,mAB,1,none,true,1,9981.541115586619,none
0.0,7,1,mAB,1,none,true,1,0.0,none
0.0,8,1,mAB,1,none,true,1,0.0,none
0.0,9,1,mAB,1,none,true,1,0.0,none
0.0,10,1,mAB,1,none,true,1,0.0,none
0.0,11,1,mAB,1,none,true,1,0.0,none
0.0,12,1,mAB,1,none,true,1,0.0,none
0.0,13,1,mAB,1,none,true,1,0.0,none
0.0,14,1,mAB,1,none,true,1,0.0,none
0.0,15,1,mAB,1,none,true,1,0.0,none
0.0,16,1,mAB,1,none,true,1,0.0,none
0.0,17,1,mAB,1,none,true,1,0.0,none
0.0,18,1,mAB,1,none,true,1,0.0,none
0.0,19,1,mAB,1,none,true,1,0.0,none
0.0,20,1,mAB,1,none,true,1,0.0,none
0.0,21,1,mAB,1,none,true,1,0.0,none
0.0,22,1,mAB,1,none,true,1,0.0,none
0.0,23,1,mAB,1,none,true,1,0.0,none
0.0,24,1,mAB,1,none,true,1,0.0,none
0.0,25,1,mAB,1,none,true,1,0.0,none
0.0,1,2,mAB,1,none,true,1,0.0,none
11922.76130868211,2,2,mAB,1,none,true,1,19957.879969156456,none
2020.372510412471,3,2,mAB,1,none,true,1,10053.297200538218,none
2016.531464126629,4,2,mAB,1,none,true,1,10041.585376900932,none
2008.4638487352656,5,2,mAB,1,none,true,1,10019.937963712358,none
1994.627555247805,6,2,mAB,1,none,true,1,9981.541121066353,none
0.0,7,2,mAB,1,none,true,1,0.0,none
0.0,8,2,mAB,1,none,true,1,0.0,none
0.0,9,2,mAB,1,none,true,1,0.0,none
0.0,10,2,mAB,1,none,true,1,0.0,none
0.0,11,2,mAB,1,none,true,1,0.0,none
0.0,12,2,mAB,1,none,true,1,0.0,none
0.0,13,2,mAB,1,none,true,1,0.0,none
0.0,14,2,mAB,1,none,true,1,0.0,none
0.0,15,2,mAB,1,none,true,1,0.0,none
0.0,16,2,mAB,1,none,true,1,0.0,none
0.0,17,2,mAB,1,none,true,1,0.0,none
0.0,18,2,mAB,1,none,true,1,0.0,none
0.0,19,2,mAB,1,none,true,1,0.0,none
0.0,20,2,mAB,1,none,true,1,0.0,none
0.0,21,2,mAB,1,none,true,1,0.0,none
0.0,22,2,mAB,1,none,true,1,0.0,none
0.0,23,2,mAB,1,none,true,1,0.0,none
0.0,24,2,mAB,1,none,true,1,0.0,none
0.0,25,2,mAB,1,none,true,1,0.0,none
0.0,1,3,mAB,1,none,true,1,0.0,none
11922.782844351474,2,3,mAB,1,none,true,1,19957.88008875821,none
2020.3703654246174,3,3,mAB,1,none,true,1,10053.297345197388,none
2016.5245355788938,4,3,mAB,1,none,true,1,10041.585549544685,none
2008.4487927723876,5,3,mAB,1,none,true,1,10019.938197537507,none
1994.602153126595,6,3,mAB,1,none,true,1,9981.541402033872,none
0.0,7,3,mAB,1,none,true,1,0.0,none
0.0,8,3,mAB,1,none,true,1,0.0,none
0.0,9,3,mAB,1,none,true,1,0.0,none
0.0,10,3,mAB,1,none,true,1,0.0,none
0.0,11,3,mAB,1,none,true,1,0.0,none
0.0,12,3,mAB,1,none,true,1,0.0,none
0.0,13,3,mAB,1,none,true,1,0.0,none
0.0,14,3,mAB,1,none,true,1,0.0,none
0.0,15,3,mAB,1,none,true,1,0.0,none
0.0,16,3,mAB,1,none,true,1,0.0,none
0.0,17,3,mAB,1,none,true,1,0.0,none
0.0,18,3,mAB,1,none,true,1,0.0,none
0.0,19,3,mAB,1,none,true,1,0.0,none
0.0,20,3,mAB,1,none,true,1,0.0,none
0.0,21,3,mAB,1,none,true,1,0.0,none
0.0,22,3,mAB,1,none,true,1,0.0,none
0.0,23,3,mAB,1,none,true,1,0.0,none
0.0,24,3,mAB,1,none,true,1,0.0,none
0.0,25,3,mAB,1,none,true,1,0.0,none
0.0,1,4,mAB,1,none,true,1,0.0,none
11922.784944900035,2,4,mAB,1,none,true,1,19957.87998059638,none
2020.3695852840592,3,4,mAB,1,none,true,1,10053.29728283668,none
2016.5225248838851,4,4,mAB,1,none,true,1,10041.58548721323,none
2008.4449731050145,5,4,mAB,1,none,true,1,10019.93814291605,none
1994.5965688061533,6,4,mAB,1,none,true,1,9981.541363648434,none
0.0,7,4,mAB,1,none,true,1,0.0,none
0.0,8,4,mAB,1,none,true,1,0.0,none
0.0,9,4,mAB,1,none,true,1,0.0,none
0.0,10,4,mAB,1,none,true,1,0.0,none
0.0,11,4,mAB,1,none,true,1,0.0,none
0.0,12,4,mAB,1,none,true,1,0.0,none
0.0,13,4,mAB,1,none,true,1,0.0,none
0.0,14,4,mAB,1,none,true,1,0.0,none
0.0,15,4,mAB,1,none,true,1,0.0,none
0.0,16,4,mAB,1,none,true,1,0.0,none
0.0,17,4,mAB,1,none,true,1,0.0,none
0.0,18,4,mAB,1,none,true,1,0.0,none
0.0,19,4,mAB,1,none,true,1,0.0,none
0.0,20,4,mAB,1,none,true,1,0.0,none
0.0,21,4,mAB,1,none,true,1,0.0,none
0.0,22,4,mAB,1,none,true,1,0.0,none
0.0,23,4,mAB,1,none,true,1,0.0,none
0.0,24,4,mAB,1,none,true,1,0.0,none
0.0,25,4,mAB,1,none,true,1,0.0,none
0.0,1,5,mAB,1,none,true,1,0.0,none
11922.784460291157,2,5,mAB,1,none,true,1,19957.87983291775,none
2020.3695104536564,3,5,mAB,1,none,true,1,10053.297108552004,none
2016.5223864343143,4,5,mAB,1,none,true,1,10041.585328983463,none
2008.4447655190315,5,5,mAB,1,none,true,1,10019.93799804493,none
1994.5963457273747,6,5,mAB,1,none,true,1,9981.541233589342,none
0.0,7,5,mAB,1,none,true,1,0.0,none
0.0,8,5,mAB,1,none,true,1,0.0,none
0.0,9,5,mAB,1,none,true,1,0.0,none
0.0,10,5,mAB,1,none,true,1,0.0,none
0.0,11,5,mAB,1,none,true,1,0.0,none
0.0,12,5,mAB,1,none,true,1,0.0,none
0.0,13,5,mAB,1,none,true,1,0.0,none
0.0,14,5,mAB,1,none,true,1,0.0,none
0.0,15,5,mAB,1,none,true,1,0.0,none
0.0,16,5,mAB,1,none,true,1,0.0,none
0.0,17,5,mAB,1,none,true,1,0.0,none
0.0,18,5,mAB,1,none,true,1,0.0,none
0.0,19,5,mAB,1,none,true,1,0.0,none
0.0,20,5,mAB,1,none,true,1,0.0,none
0.0,21,5,mAB,1,none,true,1,0.0,none
0.0,22,5,mAB,1,none,true,1,0.0,none
0.0,23,5,mAB,1,none,true,1,0.0,none
0.0,24,5,mAB,1,none,true,1,0.0,none
0.0,25,5,mAB,1,none,true,1,0.0,none
0.0,1,1,vaccine,1,none,true,1,0.0,none
0.0,2,1,vaccine,1,none,true,1,0.0,none
0.0,3,1,vaccine,1,none,true,1,0.0,none
0.0,4,1,vaccine,1,none,true,1,0.0,none
0.0,5,1,vaccine,1,none,true,1,0.0,none
0.0,6,1,vaccine,1,none,true,1,0.0,none
0.0,7,1,vaccine,1,none,true,1,0.0,none
0.0,8,1,vaccine,1,none,true,1,0.0,none
0.0,9,1,vaccine,1,none,true,1,0.0,none
0.0,10,1,vaccine,1,none,true,1,0.0,none
0.0,11,1,vaccine,1,none,true,1,0.0,none
0.0,12,1,vaccine,1,none,true,1,0.0,none
0.0,13,1,vaccine,1,none,true,1,0.0,none
0.0,14,1,vaccine,1,none,true,1,0.0,none
