n,age,year,intervention,strategy,vaccine,seasonal,replicate,n_base,vaccine_base
0.0,1,1,mAB,4,older_adult,true,1,0.0,older_adult
266699.3856828086,2,1,mAB,4,older_adult,true,1,266685.90627105645,older_adult
45195.972704861204,3,1,mAB,4,older_adult,true,1,45195.95599703663,older_adult
45195.7845795774,4,1,mAB,4,older_adult,true,1,45195.767312252174,older_adult
45195.69102909958,5,1,mAB,4,older_adult,true,1,45195.67347439484,older_adult
45195.66359214141,6,1,mAB,4,older_adult,true,1,45195.64595836578,older_adult
0.0,7,1,mAB,4,older_adult,true,1,0.0,older_adult
0.0,8,1,mAB,4,older_adult,true,1,0.0,older_adult
0.0,9,1,mAB,4,older_adult,true,1,0.0,older_adult
0.0,10,1,mAB,4,older_adult,true,1,0.0,older_adult
0.0,11,1,mAB,4,older_adult,true,1,0.0,older_adult
0.0,12,1,mAB,4,older_adult,true,1,0.0,older_adult
0.0,13,1,mAB,4,older_adult,true,1,0.0,older_adult
0.0,14,1,mAB,4,older_adult,true,1,0.0,older_adult
0.0,15,1,mAB,4,older_adult,true,1,0.0,older_adult
0.0,16,1,mAB,4,older_adult,true,1,0.0,older_adult
0.0,17,1,mAB,4,older_adult,true,1,0.0,older_adult
0.0,18,1,mAB,4,older_adult,true,1,0.0,older_adult
0.0,19,1,mAB,4,older_adult,true,1,0.0,older_adult
0.0,20,1,mAB,4,older_adult,true,1,0.0,older_adult
0.0,21,1,mAB,4,older_adult,true,1,0.0,older_adult
0.0,22,1,mAB,4,older_adult,true,1,0.0,older_adult
0.0,23,1,mAB,4,older_adult,true,1,0.0,older_adult
0.0,24,1,mAB,4,older_adult,true,1,0.0,older_adult
0.0,25,1,mAB,4,older_adult,true,1,0.0,older_adult
0.0,1,2,mAB,4,older_adult,true,1,0.0,older_adult
266687.92682382336,2,2,mAB,4,older_adult,true,1,266689.59628576,older_adult
45196.63104375469,3,2,mAB,4,older_adult,true,1,45196.73291310966,older_adult
45196.485316648745,4,2,mAB,4,older_adult,true,1,45196.589206519726,older_adult
45196.43759968696,5,2,mAB,4,older_adult,true,1,45196.541664774435,older_adult
45196.465509302354,6,2,mAB,4,older_adult,true,1,45196.56843288895,older_adult
0.0,7,2,mAB,4,older_adult,true,1,0.0,older_adult
0.0,8,2,mAB,4,older_adult,true,1,0.0,older_adult
0.0,9,2,mAB,4,older_adult,true,1,0.0,older_adult
0.0,10,2,mAB,4,older_adult,true,1,0.0,older_adult
0.0,11,2,mAB,4,older_adult,true,1,0.0,older_adult
0.0,12,2,mAB,4,older_adult,true,1,0.0,older_adult
