n,age,year,intervention,strategy,vaccine,seasonal,replicate,n_base,vaccine_base
0.0,1,1,mAB,17,maternal,true,1,0.0,none
19978.23090891002,2,1,mAB,17,maternal,true,1,19957.881858105582,none
10057.348018647814,3,1,mAB,17,maternal,true,1,10053.298231353143,none
10043.893672225096,4,1,mAB,17,maternal,true,1,10041.586343896592,none
10021.204623808719,5,1,mAB,17,maternal,true,1,10019.938644227686,none
9982.22465334589,6,1,mAB,17,maternal,true,1,9981.541115586619,none
0.0,7,1,mAB,17,maternal,true,1,0.0,none
0.0,8,1,mAB,17,maternal,true,1,0.0,none
0.0,9,1,mAB,17,maternal,true,1,0.0,none
0.0,10,1,mAB,17,maternal,true,1,0.0,none
0.0,11,1,mAB,17,maternal,true,1,0.0,none
0.0,12,1,mAB,17,maternal,true,1,0.0,none
0.0,13,1,mAB,17,maternal,true,1,0.0,none
0.0,14,1,mAB,17,maternal,true,1,0.0,none
0.0,15,1,mAB,17,maternal,true,1,0.0,none
0.0,16,1,mAB,17,maternal,true,1,0.0,none
0.0,17,1,mAB,17,maternal,true,1,0.0,none
0.0,18,1,mAB,17,maternal,true,1,0.0,none
0.0,19,1,mAB,17,maternal,true,1,0.0,none
0.0,20,1,mAB,17,maternal,true,1,0.0,none
0.0,21,1,mAB,17,maternal,true,1,0.0,none
0.0,22,1,mAB,17,maternal,true,1,0.0,none
0.0,23,1,mAB,17,maternal,true,1,0.0,none
0.0,24,1,mAB,17,maternal,true,1,0.0,none
0.0,25,1,mAB,17,maternal,true,1,0.0,none
0.0,1,2,mAB,17,maternal,true,1,0.0,none
19978.378158383875,2,2,mAB,17,maternal,true,1,19957.879969156456,none
10057.772329019297,3,2,mAB,17,maternal,true,1,10053.297200538218,none
10045.329556596613,4,2,mAB,17,maternal,true,1,10041.585376900932,none
10024.856730747479,5,2,mAB,17,maternal,true,1,10019.937963712358,none
9989.742268919581,6,2,mAB,17,maternal,true,1,9981.541121066353,none
0.0,7,2,mAB,17,maternal,true,1,0.0,none
0.0,8,2,mAB,17,maternal,true,1,0.0,none
0.0,9,2,mAB,17,maternal,true,1,0.0,none
0.0,10,2,mAB,17,maternal,true,1,0.0,none
0.0,11,2,mAB,17,maternal,true,1,0.0,none
0.0,12,2,mAB,17,maternal,true,1,0.0,none
0.0,13,2,mAB,17,maternal,true,1,0.0,none
0.0,14,2,mAB,17,maternal,true,1,0.0,none
0.0,15,2,mAB,17,maternal,true,1,0.0,none
0.0,16,2,mAB,17,maternal,true,1,0.0,none
0.0,17,2,mAB,17,maternal,true,1,0.0,none
0.0,18,2,mAB,17,maternal,true,1,0.0,none
0.0,19,2,mAB,17,maternal,true,1,0.0,none
0.0,20,2,mAB,17,maternal,true,1,0.0,none
0.0,21,2,mAB,17,maternal,true,1,0.0,none
0.0,22,2,mAB,17,maternal,true,1,0.0,none
0.0,23,2,mAB,17,maternal,true,1,0.0,none
0.0,24,2,mAB,17,maternal,true,1,0.0,none
0.0,25,2,mAB,17,maternal,true,1,0.0,none
0.0,1,3,mAB,17,maternal,true,1,0.0,none
