n,age,year,intervention,strategy,vaccine,seasonal,replicate,n_base,vaccine_base
0.0,1,1,mAB,4,older_adult,true,1,0.0,none
266699.3856828086,2,1,mAB,4,older_adult,true,1,266678.33989020006,none
45195.972704861204,3,1,mAB,4,older_adult,true,1,45195.94534906017,none
45195.7845795774,4,1,mAB,4,older_adult,true,1,45195.75631065093,none
45195.69102909958,5,1,mAB,4,older_adult,true,1,45195.662291048924,none
45195.66359214141,6,1,mAB,4,older_adult,true,1,45195.634725400836,none
0.0,7,1,mAB,4,older_adult,true,1,0.0,none
0.0,8,1,mAB,4,older_adult,true,1,0.0,none
0.0,9,1,mAB,4,older_adult,true,1,0.0,none
0.0,10,1,mAB,4,older_adult,true,1,0.0,none
0.0,11,1,mAB,4,older_adult,true,1,0.0,none
0.0,12,1,mAB,4,older_adult,true,1,0.0,none
0.0,13,1,mAB,4,older_adult,true,1,0.0,none
0.0,14,1,mAB,4,older_adult,true,1,0.0,none
0.0,15,1,mAB,4,older_adult,true,1,0.0,none
0.0,16,1,mAB,4,older_adult,true,1,0.0,none
0.0,17,1,mAB,4,older_adult,true,1,0.0,none
0.0,18,1,mAB,4,older_adult,true,1,0.0,none
0.0,19,1,mAB,4,older_adult,true,1,0.0,none
0.0,20,1,mAB,4,older_adult,true,1,0.0,none
0.0,21,1,mAB,4,older_adult,true,1,0.0,none
0.0,22,1,mAB,4,older_adult,true,1,0.0,none
0.0,23,1,mAB,4,older_adult,true,1,0.0,none
0.0,24,1,mAB,4,older_adult,true,1,0.0,none
0.0,25,1,mAB,4,older_adult,true,1,0.0,none
0.0,1,2,mAB,4,older_adult,true,1,0.0,none
266687.92682382325,2,2,mAB,4,older_adult,true,1,266690.48358399107,none
45196.63104375468,3,2,mAB,4,older_adult,true,1,45196.788457513205,none
45196.48531664873,4,2,mAB,4,older_adult,true,1,45196.64577243614,none
45196.437599686935,5,2,mAB,4,older_adult,true,1,45196.59824974503,none
45196.465509302354,6,2,mAB,4,older_adult,true,1,45196.62432753773,none
0.0,7,2,mAB,4,older_adult,true,1,0.0,none
0.0,8,2,mAB,4,older_adult,true,1,0.0,none
0.0,9,2,mAB,4,older_adult,true,1,0.0,none
0.0,10,2,mAB,4,older_adult,true,1,0.0,none
0.0,11,2,mAB,4,older_adult,true,1,0.0,none
0.0,12,2,mAB,4,older_adult,true,1,0.0,none
0.0,13,2,mAB,4,older_adult,true,1,0.0,none
0.0,14,2,mAB,4,older_adult,true,1,0.0,none
0.0,15,2,mAB,4,older_adult,true,1,0.0,none
0.0,16,2,mAB,4,older_adult,true,1,0.0,none
0.0,17,2,mAB,4,older_adult,true,1,0.0,none
0.0,18,2,mAB,4,older_adult,true,1,0.0,none
0.0,19,2,mAB,4,older_adult,true,1,0.0,none
0.0,20,2,mAB,4,older_adult,true,1,0.0,none
0.0,21,2,mAB,4,older_adult,true,1,0.0,none
0.0,22,2,mAB,4,older_adult,true,1,0.0,none
0.0,23,2,mAB,4,older_adult,true,1,0.0,none
0.0,24,2,mAB,4,older_adult,true,1,0.0,none
0.0,25,2,mAB,4,older_adult,true,1,0.0,none
0.0,1,3,mAB,4,older_adult,true,1,0.0,none
266699.2051775091,2,3,mAB,4,older_adult,true,1,266700.59307286504,none
45196.94015116142,3,3,mAB,4,older_adult,true,1,45196.992514816855,none
45196.80295763367,4,3,mAB,4,older_adult,true,1,45196.85634089301,none
45196.75755096541,5,3,mAB,4,older_adult,true,1,45196.81105669321,none
45196.78307253686,6,3,mAB,4,older_adult,true,1,45196.83604294735,none
0.0,7,3,mAB,4,older_adult,true,1,0.0,none
0.0,8,3,mAB,4,older_adult,true,1,0.0,none
0.0,9,3,mAB,4,older_adult,true,1,0.0,none
0.0,10,3,mAB,4,older_adult,true,1,0.0,none
0.0,11,3,mAB,4,older_adult,true,1,0.0,none
0.0,12,3,mAB,4,older_adult,true,1,0.0,none
0.0,13,3,mAB,4,older_adult,true,1,0.0,none
0.0,14,3,mAB,4,older_adult,true,1,0.0,none
0.0,15,3,mAB,4,older_adult,true,1,0.0,none
0.0,16,3,mAB,4,older_adult,true,1,0.0,none
0.0,17,3,mAB,4,older_adult,true,1,0.0,none
0.0,18,3,mAB,4,older_adult,true,1,0.0,none
0.0,19,3,mAB,4,older_adult,true,1,0.0,none
0.0,20,3,mAB,4,older_adult,true,1,0.0,none
0.0,21,3,mAB,4,older_adult,true,1,0.0,none
0.0,22,3,mAB,4,older_adult,true,1,0.0,none
0.0,23,3,mAB,4,older_adult,true,1,0.0,none
0.0,24,3,mAB,4,older_adult,true,1,0.0,none
0.0,25,3,mAB,4,older_adult,true,1,0.0,none
0.0,1,4,mAB,4,older_adult,true,1,0.0,none
266700.7096918253,2,4,mAB,4,older_adult,true,1,266701.4639878892,none
45196.95357460383,3,4,mAB,4,older_adult,true,1,45196.98373796039,none
45196.8163810246,4,4,mAB,4,older_adult,true,1,45196.84722255044,none
45196.770941556606,5,4,mAB,4,older_adult,true,1,45196.80191420499,none
45196.796399341234,6,4,mAB,4,older_adult,true,1,45196.82709159502,none
0.0,7,4,mAB,4,older_adult,true,1,0.0,none
0.0,8,4,mAB,4,older_adult,true,1,0.0,none
0.0,9,4,mAB,4,older_adult,true,1,0.0,none
0.0,10,4,mAB,4,older_adult,true,1,0.0,none
0.0,11,4,mAB,4,older_adult,true,1,0.0,none
0.0,12,4,mAB,4,older_adult,true,1,0.0,none
0.0,13,4,mAB,4,older_adult,true,1,0.0,none
0.0,14,4,mAB,4,older_adult,true,1,0.0,none
0.0,15,4,mAB,4,older_adult,true,1,0.0,none
0.0,16,4,mAB,4,older_adult,true,1,0.0,none
0.0,17,4,mAB,4,older_adult,true,1,0.0,none
0.0,18,4,mAB,4,older_adult,true,1,0.0,none
0.0,19,4,mAB,4,older_adult,true,1,0.0,none
0.0,20,4,mAB,4,older_adult,true,1,0.0,none
0.0,21,4,mAB,4,older_adult,true,1,0.0,none
0.0,22,4,mAB,4,older_adult,true,1,0.0,none
0.0,23,4,mAB,4,older_adult,true,1,0.0,none
0.0,24,4,mAB,4,older_adult,true,1,0.0,none
0.0,25,4,mAB,4,older_adult,true,1,0.0,none
0.0,1,5,mAB,4,older_adult,true,1,0.0,none
266700.99387972907,2,5,mAB,4,older_adult,true,1,266701.1764798348,none
45196.957001463314,3,5,mAB,4,older_adult,true,1,45196.97472209476,none
45196.81976258299,4,5,mAB,4,older_adult,true,1,45196.83789193135,none
45196.77426882669,5,5,mAB,4,older_adult,true,1,45196.79248559035,none
45196.799670034845,6,5,mAB,4,older_adult,true,1,45196.81772987568,none
0.0,7,5,mAB,4,older_adult,true,1,0.0,none
0.0,8,5,mAB,4,older_adult,true,1,0.0,none
0.0,9,5,mAB,4,older_adult,true,1,0.0,none
0.0,10,5,mAB,4,older_adult,true,1,0.0,none
0.0,11,5,mAB,4,older_adult,true,1,0.0,none
0.0,12,5,mAB,4,older_adult,true,1,0.0,none
0.0,13,5,mAB,4,older_adult,true,1,0.0,none
0.0,14,5,mAB,4,older_adult,true,1,0.0,none
0.0,15,5,mAB,4,older_adult,true,1,0.0,none
0.0,16,5,mAB,4,older_adult,true,1,0.0,none
0.0,17,5,mAB,4,older_adult,true,1,0.0,none
0.0,18,5,mAB,4,older_adult,true,1,0.0,none
0.0,19,5,mAB,4,older_adult,true,1,0.0,none
0.0,20,5,mAB,4,older_adult,true,1,0.0,none
0.0,21,5,mAB,4,older_adult,true,1,0.0,none
0.0,22,5,mAB,4,older_adult,true,1,0.0,none
0.0,23,5,mAB,4,older_adult,true,1,0.0,none
0.0,24,5,mAB,4,older_adult,true,1,0.0,none
0.0,25,5,mAB,4,older_adult,true,1,0.0,none
0.0,1,1,vaccine,4,older_adult,true,1,0.0,none
0.0,2,1,vaccine,4,older_adult,true,1,0.0,none
0.0,3,1,vaccine,4,older_adult,true,1,0.0,none
0.0,4,1,vaccine,4,older_adult,true,1,0.0,none
0.0,5,1,vaccine,4,older_adult,true,1,0.0,none
0.0,6,1,vaccine,4,older_adult,true,1,0.0,none
0.0,7,1,vaccine,4,older_adult,true,1,0.0,none
0.0,8,1,vaccine,4,older_adult,true,1,0.0,none
0.0,9,1,vaccine,4,older_adult,true,1,0.0,none
0.0,10,1,vaccine,4,older_adult,true,1,0.0,none
0.0,11,1,vaccine,4,older_adult,true,1,0.0,none
0.0,12,1,vaccine,4,older_adult,true,1,0.0,none
0.0,13,1,vaccine,4,older_adult,true,1,0.0,none
0.0,14,1,vaccine,4,older_adult,true,1,0.0,none
0.0,15,1,vaccine,4,older_adult,true,1,0.0,none
0.0,16,1,vaccine,4,older_adult,true,1,0.0,none
0.0,17,1,vaccine,4,older_adult,true,1,0.0,none
0.0,18,1,vaccine,4,older_adult,true,1,0.0,none
0.0,19,1,vaccine,4,older_adult,true,1,0.0,none
0.0,20,1,vaccine,4,older_adult,true,1,0.0,none
0.0,21,1,vaccine,4,older_adult,true,1,0.0,none
0.0,22,1,vaccine,4,older_adult,true,1,0.0,none
0.0,23,1,vaccine,4,older_adult,true,1,0.0,none
3.616571338196454e6,24,1,vaccine,4,older_adult,true,1,0.0,none
3.8229908888311554e6,25,1,vaccine,4,older_adult,true,1,0.0,none
0.0,1,2,vaccine,4,older_adult,true,1,0.0,none
0.0,2,2,vaccine,4,older_adult,true,1,0.0,none
0.0,3,2,vaccine,4,older_adult,true,1,0.0,none
0.0,4,2,vaccine,4,older_adult,true,1,0.0,none
0.0,5,2,vaccine,4,older_adult,true,1,0.0,none
0.0,6,2,vaccine,4,older_adult,true,1,0.0,none
0.0,7,2,vaccine,4,older_adult,true,1,0.0,none
0.0,8,2,vaccine,4,older_adult,true,1,0.0,none
0.0,9,2,vaccine,4,older_adult,true,1,0.0,none
0.0,10,2,vaccine,4,older_adult,true,1,0.0,none
0.0,11,2,vaccine,4,older_adult,true,1,0.0,none
0.0,12,2,vaccine,4,older_adult,true,1,0.0,none
0.0,13,2,vaccine,4,older_adult,true,1,0.0,none
0.0,14,2,vaccine,4,older_adult,true,1,0.0,none
0.0,15,2,vaccine,4,older_adult,true,1,0.0,none
0.0,16,2,vaccine,4,older_adult,true,1,0.0,none
0.0,17,2,vaccine,4,older_adult,true,1,0.0,none
0.0,18,2,vaccine,4,older_adult,true,1,0.0,none
0.0,19,2,vaccine,4,older_adult,true,1,0.0,none
0.0,20,2,vaccine,4,older_adult,true,1,0.0,none
0.0,21,2,vaccine,4,older_adult,true,1,0.0,none
0.0,22,2,vaccine,4,older_adult,true,1,0.0,none
0.0,23,2,vaccine,4,older_adult,true,1,0.0,none
203334.8093365091,24,2,vaccine,4,older_adult,true,1,0.0,none
0.0,25,2,vaccine,4,older_adult,true,1,0.0,none
0.0,1,3,vaccine,4,older_adult,true,1,0.0,none
0.0,2,3,vaccine,4,older_adult,true,1,0.0,none
0.0,3,3,vaccine,4,older_adult,true,1,0.0,none
0.0,4,3,vaccine,4,older_adult,true,1,0.0,none
0.0,5,3,vaccine,4,older_adult,true,1,0.0,none
0.0,6,3,vaccine,4,older_adult,true,1,0.0,none
0.0,7,3,vaccine,4,older_adult,true,1,0.0,none
0.0,8,3,vaccine,4,older_adult,true,1,0.0,none
0.0,9,3,vaccine,4,older_adult,true,1,0.0,none
0.0,10,3,vaccine,4,older_adult,true,1,0.0,none
0.0,11,3,vaccine,4,older_adult,true,1,0.0,none
0.0,12,3,vaccine,4,older_adult,true,1,0.0,none
0.0,13,3,vaccine,4,older_adult,true,1,0.0,none
0.0,14,3,vaccine,4,older_adult,true,1,0.0,none
0.0,15,3,vaccine,4,older_adult,true,1,0.0,none
0.0,16,3,vaccine,4,older_adult,true,1,0.0,none
0.0,17,3,vaccine,4,older_adult,true,1,0.0,none
0.0,18,3,vaccine,4,older_adult,true,1,0.0,none
0.0,19,3,vaccine,4,older_adult,true,1,0.0,none
0.0,20,3,vaccine,4,older_adult,true,1,0.0,none
0.0,21,3,vaccine,4,older_adult,true,1,0.0,none
0.0,22,3,vaccine,4,older_adult,true,1,0.0,none
0.0,23,3,vaccine,4,older_adult,true,1,0.0,none
203339.29460096476,24,3,vaccine,4,older_adult,true,1,0.0,none
0.0,25,3,vaccine,4,older_adult,true,1,0.0,none
0.0,1,4,vaccine,4,older_adult,true,1,0.0,none
0.0,2,4,vaccine,4,older_adult,true,1,0.0,none
0.0,3,4,vaccine,4,older_adult,true,1,0.0,none
0.0,4,4,vaccine,4,older_adult,true,1,0.0,none
0.0,5,4,vaccine,4,older_adult,true,1,0.0,none
0.0,6,4,vaccine,4,older_adult,true,1,0.0,none
0.0,7,4,vaccine,4,older_adult,true,1,0.0,none
0.0,8,4,vaccine,4,older_adult,true,1,0.0,none
0.0,9,4,vaccine,4,older_adult,true,1,0.0,none
0.0,10,4,vaccine,4,older_adult,true,1,0.0,none
0.0,11,4,vaccine,4,older_adult,true,1,0.0,none
0.0,12,4,vaccine,4,older_adult,true,1,0.0,none
0.0,13,4,vaccine,4,older_adult,true,1,0.0,none
0.0,14,4,vaccine,4,older_adult,true,1,0.0,none
0.0,15,4,vaccine,4,older_adult,true,1,0.0,none
0.0,16,4,vaccine,4,older_adult,true,1,0.0,none
0.0,17,4,vaccine,4,older_adult,true,1,0.0,none
0.0,18,4,vaccine,4,older_adult,true,1,0.0,none
0.0,19,4,vaccine,4,older_adult,true,1,0.0,none
0.0,20,4,vaccine,4,older_adult,true,1,0.0,none
0.0,21,4,vaccine,4,older_adult,true,1,0.0,none
0.0,22,4,vaccine,4,older_adult,true,1,0.0,none
0.0,23,4,vaccine,4,older_adult,true,1,0.0,none
203339.5081286255,24,4,vaccine,4,older_adult,true,1,0.0,none
0.0,25,4,vaccine,4,older_adult,true,1,0.0,none
0.0,1,5,vaccine,4,older_adult,true,1,0.0,none
0.0,2,5,vaccine,4,older_adult,true,1,0.0,none
0.0,3,5,vaccine,4,older_adult,true,1,0.0,none
0.0,4,5,vaccine,4,older_adult,true,1,0.0,none
0.0,5,5,vaccine,4,older_adult,true,1,0.0,none
0.0,6,5,vaccine,4,older_adult,true,1,0.0,none
0.0,7,5,vaccine,4,older_adult,true,1,0.0,none
0.0,8,5,vaccine,4,older_adult,true,1,0.0,none
0.0,9,5,vaccine,4,older_adult,true,1,0.0,none
0.0,10,5,vaccine,4,older_adult,true,1,0.0,none
0.0,11,5,vaccine,4,older_adult,true,1,0.0,none
0.0,12,5,vaccine,4,older_adult,true,1,0.0,none
0.0,13,5,vaccine,4,older_adult,true,1,0.0,none
0.0,14,5,vaccine,4,older_adult,true,1,0.0,none
0.0,15,5,vaccine,4,older_adult,true,1,0.0,none
0.0,16,5,vaccine,4,older_adult,true,1,0.0,none
0.0,17,5,vaccine,4,older_adult,true,1,0.0,none
0.0,18,5,vaccine,4,older_adult,true,1,0.0,none
0.0,19,5,vaccine,4,older_adult,true,1,0.0,none
0.0,20,5,vaccine,4,older_adult,true,1,0.0,none
0.0,21,5,vaccine,4,older_adult,true,1,0.0,none
0.0,22,5,vaccine,4,older_adult,true,1,0.0,none
0.0,23,5,vaccine,4,older_adult,true,1,0.0,none
203339.49345750123,24,5,vaccine,4,older_adult,true,1,0.0,none
0.0,25,5,vaccine,4,older_adult,true,1,0.0,none
0.0,1,1,mAB,4,older_adult,true,2,0.0,none
266736.9590680453,2,1,mAB,4,older_adult,true,2,266716.37757467176,none
45194.83846636603,3,1,mAB,4,older_adult,true,2,45194.80198471036,none
45194.60779164536,4,1,mAB,4,older_adult,true,2,45194.57010406007,none
45194.480786260654,5,1,mAB,4,older_adult,true,2,45194.442400758635,none
45194.42889965368,6,1,mAB,4,older_adult,true,2,45194.390231663856,none
0.0,7,1,mAB,4,older_adult,true,2,0.0,none
0.0,8,1,mAB,4,older_adult,true,2,0.0,none
0.0,9,1,mAB,4,older_adult,true,2,0.0,none
0.0,10,1,mAB,4,older_adult,true,2,0.0,none
0.0,11,1,mAB,4,older_adult,true,2,0.0,none
0.0,12,1,mAB,4,older_adult,true,2,0.0,none
0.0,13,1,mAB,4,older_adult,true,2,0.0,none
0.0,14,1,mAB,4,older_adult,true,2,0.0,none
0.0,15,1,mAB,4,older_adult,true,2,0.0,none
0.0,16,1,mAB,4,older_adult,true,2,0.0,none
0.0,17,1,mAB,4,older_adult,true,2,0.0,none
0.0,18,1,mAB,4,older_adult,true,2,0.0,none
0.0,19,1,mAB,4,older_adult,true,2,0.0,none
0.0,20,1,mAB,4,older_adult,true,2,0.0,none
0.0,21,1,mAB,4,older_adult,true,2,0.0,none
0.0,22,1,mAB,4,older_adult,true,2,0.0,none
0.0,23,1,mAB,4,older_adult,true,2,0.0,none
0.0,24,1,mAB,4,older_adult,true,2,0.0,none
0.0,25,1,mAB,4,older_adult,true,2,0.0,none
0.0,1,2,mAB,4,older_adult,true,2,0.0,none
266725.877589259,2,2,mAB,4,older_adult,true,2,266727.1702346228,none
45195.615519438266,3,2,mAB,4,older_adult,true,2,45195.7985940942,none
45195.436453140734,4,2,mAB,4,older_adult,true,2,45195.62286246316,none
45195.36912246594,5,2,mAB,4,older_adult,true,2,45195.55578701478,none
45195.39144276624,6,2,mAB,4,older_adult,true,2,45195.576145234154,none
0.0,7,2,mAB,4,older_adult,true,2,0.0,none
0.0,8,2,mAB,4,older_adult,true,2,0.0,none
0.0,9,2,mAB,4,older_adult,true,2,0.0,none
0.0,10,2,mAB,4,older_adult,true,2,0.0,none
0.0,11,2,mAB,4,older_adult,true,2,0.0,none
0.0,12,2,mAB,4,older_adult,true,2,0.0,none
0.0,13,2,mAB,4,older_adult,true,2,0.0,none
0.0,14,2,mAB,4,older_adult,true,2,0.0,none
0.0,15,2,mAB,4,older_adult,true,2,0.0,none
0.0,16,2,mAB,4,older_adult,true,2,0.0,none
0.0,17,2,mAB,4,older_adult,true,2,0.0,none
0.0,18,2,mAB,4,older_adult,true,2,0.0,none
0.0,19,2,mAB,4,older_adult,true,2,0.0,none
0.0,20,2,mAB,4,older_adult,true,2,0.0,none
0.0,21,2,mAB,4,older_adult,true,2,0.0,none
0.0,22,2,mAB,4,older_adult,true,2,0.0,none
0.0,23,2,mAB,4,older_adult,true,2,0.0,none
0.0,24,2,mAB,4,older_adult,true,2,0.0,none
0.0,25,2,mAB,4,older_adult,true,2,0.0,none
0.0,1,3,mAB,4,older_adult,true,2,0.0,none
266735.6031549964,2,3,mAB,4,older_adult,true,2,266736.85082911013,none
45195.98875199584,3,3,mAB,4,older_adult,true,2,45196.05874629778,none
45195.819626922974,4,3,mAB,4,older_adult,true,2,45195.89096971172,none
45195.75532643238,5,3,mAB,4,older_adult,true,2,45195.82688069703,none
45195.775294252206,6,3,mAB,4,older_adult,true,2,45195.84621010567,none
0.0,7,3,mAB,4,older_adult,true,2,0.0,none
0.0,8,3,mAB,4,older_adult,true,2,0.0,none
0.0,9,3,mAB,4,older_adult,true,2,0.0,none
0.0,10,3,mAB,4,older_adult,true,2,0.0,none
0.0,11,3,mAB,4,older_adult,true,2,0.0,none
0.0,12,3,mAB,4,older_adult,true,2,0.0,none
0.0,13,3,mAB,4,older_adult,true,2,0.0,none
0.0,14,3,mAB,4,older_adult,true,2,0.0,none
0.0,15,3,mAB,4,older_adult,true,2,0.0,none
0.0,16,3,mAB,4,older_adult,true,2,0.0,none
0.0,17,3,mAB,4,older_adult,true,2,0.0,none
0.0,18,3,mAB,4,older_adult,true,2,0.0,none
0.0,19,3,mAB,4,older_adult,true,2,0.0,none
0.0,20,3,mAB,4,older_adult,true,2,0.0,none
0.0,21,3,mAB,4,older_adult,true,2,0.0,none
0.0,22,3,mAB,4,older_adult,true,2,0.0,none
0.0,23,3,mAB,4,older_adult,true,2,0.0,none
0.0,24,3,mAB,4,older_adult,true,2,0.0,none
0.0,25,3,mAB,4,older_adult,true,2,0.0,none
0.0,1,4,mAB,4,older_adult,true,2,0.0,none
266737.31970703683,2,4,mAB,4,older_adult,true,2,266737.9969185387,none
45196.01505555316,3,4,mAB,4,older_adult,true,2,45196.053899584644,none
45195.846128843004,4,4,mAB,4,older_adult,true,2,45195.88582762975,none
45195.781797681375,5,4,mAB,4,older_adult,true,2,45195.8216955658,none
45195.80156110316,6,4,mAB,4,older_adult,true,2,45195.841151956716,none
0.0,7,4,mAB,4,older_adult,true,2,0.0,none
0.0,8,4,mAB,4,older_adult,true,2,0.0,none
0.0,9,4,mAB,4,older_adult,true,2,0.0,none
0.0,10,4,mAB,4,older_adult,true,2,0.0,none
0.0,11,4,mAB,4,older_adult,true,2,0.0,none
0.0,12,4,mAB,4,older_adult,true,2,0.0,none
