n,age,year,intervention,strategy,vaccine,seasonal,replicate,n_base,vaccine_base
0.0,1,1,mAB,17,maternal,true,1,0.0,none
11935.985669523772,2,1,mAB,17,maternal,true,1,11922.72835555049,none
2020.3747131049993,3,1,mAB,17,maternal,true,1,2020.3699116395323,none
2016.5287858851475,4,1,mAB,17,maternal,true,1,2016.527492395817,none
2008.4575333696823,5,1,mAB,17,maternal,true,1,2008.457164477017,none
1994.6167614139003,6,1,mAB,17,maternal,true,1,1994.6165862851565,none
0.0,7,1,mAB,17,maternal,true,1,0.0,none
0.0,8,1,mAB,17,maternal,true,1,0.0,none
0.0,9,1,mAB,17,maternal,true,1,0.0,none
0.0,10,1,mAB,17,maternal,true,1,0.0,none
0.0,11,1,mAB,17,maternal,true,1,0.0,none
0.0,12,1,mAB,17,maternal,true,1,0.0,none
0.0,13,1,mAB,17,maternal,true,1,0.0,none
0.0,14,1,mAB,17,maternal,true,1,0.0,none
0.0,15,1,mAB,17,maternal,true,1,0.0,none
0.0,16,1,mAB,17,maternal,true,1,0.0,none
0.0,17,1,mAB,17,maternal,true,1,0.0,none
0.0,18,1,mAB,17,maternal,true,1,0.0,none
0.0,19,1,mAB,17,maternal,true,1,0.0,none
0.0,20,1,mAB,17,maternal,true,1,0.0,none
0.0,21,1,mAB,17,maternal,true,1,0.0,none
0.0,22,1,mAB,17,maternal,true,1,0.0,none
0.0,23,1,mAB,17,maternal,true,1,0.0,none
0.0,24,1,mAB,17,maternal,true,1,0.0,none
0.0,25,1,mAB,17,maternal,true,1,0.0,none
0.0,1,2,mAB,17,maternal,true,1,0.0,none
11936.095131900493,2,2,mAB,17,maternal,true,1,11922.727452421057,none
2020.6102554874894,3,2,mAB,17,maternal,true,1,2020.3699118742124,none
2017.2330793543406,4,2,mAB,17,maternal,true,1,2016.5275543027476,none
2010.059268040203,5,2,mAB,17,maternal,true,1,2008.4573791764235,none
1997.5713754290682,6,2,mAB,17,maternal,true,1,1994.6170955311516,none
0.0,7,2,mAB,17,maternal,true,1,0.0,none
0.0,8,2,mAB,17,maternal,true,1,0.0,none
0.0,9,2,mAB,17,maternal,true,1,0.0,none
0.0,10,2,mAB,17,maternal,true,1,0.0,none
0.0,11,2,mAB,17,maternal,true,1,0.0,none
0.0,12,2,mAB,17,maternal,true,1,0.0,none
0.0,13,2,mAB,17,maternal,true,1,0.0,none
0.0,14,2,mAB,17,maternal,true,1,0.0,none
0.0,15,2,mAB,17,maternal,true,1,0.0,none
0.0,16,2,mAB,17,maternal,true,1,0.0,none
0.0,17,2,mAB,17,maternal,true,1,0.0,none
0.0,18,2,mAB,17,maternal,true,1,0.0,none
0.0,19,2,mAB,17,maternal,true,1,0.0,none
0.0,20,2,mAB,17,maternal,true,1,0.0,none
0.0,21,2,mAB,17,maternal,true,1,0.0,none
0.0,22,2,mAB,17,maternal,true,1,0.0,none
0.0,23,2,mAB,17,maternal,true,1,0.0,none
0.0,24,2,mAB,17,maternal,true,1,0.0,none
0.0,25,2,mAB,17,maternal,true,1,0.0,none
0.0,1,3,mAB,17,maternal,true,1,0.0,none
11936.045704518467,2,3,mAB,17,maternal,true,1,11922.727464455416,none
2020.6121026519972,3,3,mAB,17,maternal,true,1,2020.36993385081,none
2017.2426641755305,4,3,mAB,17,maternal,true,1,2016.527593399846,none
2010.0830954951398,5,3,mAB,17,maternal,true,1,2008.4574322621215,none
1997.6158178576306,6,3,mAB,17,maternal,true,1,1994.6171368484916,none
0.0,7,3,mAB,17,maternal,true,1,0.0,none
0.0,8,3,mAB,17,maternal,true,1,0.0,none
0.0,9,3,mAB,17,maternal,true,1,0.0,none
0.0,10,3,mAB,17,maternal,true,1,0.0,none
0.0,11,3,mAB,17,maternal,true,1,0.0,none
0.0,12,3,mAB,17,maternal,true,1,0.0,none
0.0,13,3,mAB,17,maternal,true,1,0.0,none
0.0,14,3,mAB,17,maternal,true,1,0.0,none
0.0,15,3,mAB,17,maternal,true,1,0.0,none
0.0,16,3,mAB,17,maternal,true,1,0.0,none
0.0,17,3,mAB,17,maternal,true,1,0.0,none
0.0,18,3,mAB,17,maternal,true,1,0.0,none
0.0,19,3,mAB,17,maternal,true,1,0.0,none
0.0,20,3,mAB,17,maternal,true,1,0.0,none
0.0,21,3,mAB,17,maternal,true,1,0.0,none
0.0,22,3,mAB,17,maternal,true,1,0.0,none
0.0,23,3,mAB,17,maternal,true,1,0.0,none
0.0,24,3,mAB,17,maternal,true,1,0.0,none
0.0,25,3,mAB,17,maternal,true,1,0.0,none
0.0,1,4,mAB,17,maternal,true,1,0.0,none
11935.980519865618,2,4,mAB,17,maternal,true,1,11922.727416962407,none
2020.6124528550445,3,4,mAB,17,maternal,true,1,2020.3699336003037,none
2017.2477523654716,4,4,mAB,17,maternal,true,1,2016.5275956403657,none
2010.0962044232983,5,4,mAB,17,maternal,true,1,2008.45743871356,none
1997.6386932952037,6,4,mAB,17,maternal,true,1,1994.6171486044705,none
0.0,7,4,mAB,17,maternal,true,1,0.0,none
0.0,8,4,mAB,17,maternal,true,1,0.0,none
0.0,9,4,mAB,17,maternal,true,1,0.0,none
0.0,10,4,mAB,17,maternal,true,1,0.0,none
0.0,11,4,mAB,17,maternal,true,1,0.0,none
0.0,12,4,mAB,17,maternal,true,1,0.0,none
0.0,13,4,mAB,17,maternal,true,1,0.0,none
0.0,14,4,mAB,17,maternal,true,1,0.0,none
0.0,15,4,mAB,17,maternal,true,1,0.0,none
0.0,16,4,mAB,17,maternal,true,1,0.0,none
0.0,17,4,mAB,17,maternal,true,1,0.0,none
0.0,18,4,mAB,17,maternal,true,1,0.0,none
0.0,19,4,mAB,17,maternal,true,1,0.0,none
0.0,20,4,mAB,17,maternal,true,1,0.0,none
0.0,21,4,mAB,17,maternal,true,1,0.0,none
0.0,22,4,mAB,17,maternal,true,1,0.0,none
0.0,23,4,mAB,17,maternal,true,1,0.0,none
0.0,24,4,mAB,17,maternal,true,1,0.0,none
0.0,25,4,mAB,17,maternal,true,1,0.0,none
0.0,1,5,mAB,17,maternal,true,1,0.0,none
11935.936454418712,2,5,mAB,17,maternal,true,1,11922.727397196635,none
2020.6141626352137,3,5,mAB,17,maternal,true,1,2020.3699267860347,none
2017.2547561494093,4,5,mAB,17,maternal,true,1,2016.5275912434035,none
2010.111812727917,5,5,mAB,17,maternal,true,1,2008.4574379421783,none
1997.664259609509,6,5,mAB,17,maternal,true,1,1994.6171513603522,none
0.0,7,5,mAB,17,maternal,true,1,0.0,none
0.0,8,5,mAB,17,maternal,true,1,0.0,none
0.0,9,5,mAB,17,maternal,true,1,0.0,none
0.0,10,5,mAB,17,maternal,true,1,0.0,none
